"Year","Population_Size","Population","Sex"
2023,836,"Plateau","Male"
2024,802.604446062378,"Plateau","Male"
2025,763.961098405297,"Plateau","Male"
2026,729.167648609419,"Plateau","Male"
2027,693.165836622187,"Plateau","Male"
2028,661.041032220085,"Plateau","Male"
2029,631.033001531574,"Plateau","Male"
2030,598.84468326254,"Plateau","Male"
2031,574.12501782975,"Plateau","Male"
2032,545.079154128708,"Plateau","Male"
2033,518.714509795915,"Plateau","Male"
2034,493.037932495319,"Plateau","Male"
2035,470.389027323264,"Plateau","Male"
2036,448.253140879093,"Plateau","Male"
2037,428.375806090819,"Plateau","Male"
2038,405.33349577246,"Plateau","Male"
2039,388.203944217239,"Plateau","Male"
2040,367.426664997825,"Plateau","Male"
2041,352.667677736747,"Plateau","Male"
2042,337.983601133777,"Plateau","Male"
2043,322.080385486686,"Plateau","Male"
2044,306.06485319099,"Plateau","Male"
2045,293.307851057497,"Plateau","Male"
2046,279.136523277944,"Plateau","Male"
2047,264.304465814654,"Plateau","Male"
2048,251.846244628094,"Plateau","Male"
2049,241.94105615415,"Plateau","Male"
2050,229.564853542552,"Plateau","Male"
2051,218.950158669814,"Plateau","Male"
2052,208.87373170785,"Plateau","Male"
2053,199.526105276701,"Plateau","Male"
2054,188.989540734541,"Plateau","Male"
2055,181.000108613709,"Plateau","Male"
2056,171.640135309329,"Plateau","Male"
2057,164.830915615373,"Plateau","Male"
2058,157.199028796814,"Plateau","Male"
2059,150.664236132957,"Plateau","Male"
2060,143.204082509744,"Plateau","Male"
2061,135.754062364973,"Plateau","Male"
2062,128.88333185407,"Plateau","Male"
2063,124.136789543589,"Plateau","Male"
2064,119.189993518214,"Plateau","Male"
2065,113.080076139771,"Plateau","Male"
2066,107.592840824081,"Plateau","Male"
2067,103.684630088407,"Plateau","Male"
2068,98.1496389239405,"Plateau","Male"
2069,94.0931114692515,"Plateau","Male"
2070,88.9498256907877,"Plateau","Male"
2071,84.828897307675,"Plateau","Male"
2072,80.6547676127499,"Plateau","Male"
2073,77.1412937384095,"Plateau","Male"
2074,73.7380170566922,"Plateau","Male"
2075,70.5110426740583,"Plateau","Male"
2076,67.6181729136617,"Plateau","Male"
2077,63.9122282542215,"Plateau","Male"
2078,61.2485033177043,"Plateau","Male"
2079,58.3827486474341,"Plateau","Male"
2080,55.7671717788964,"Plateau","Male"
2081,52.544861336407,"Plateau","Male"
2082,49.7985284351709,"Plateau","Male"
2083,47.9363458771636,"Plateau","Male"
2084,45.3534593219852,"Plateau","Male"
2085,43.5615311553502,"Plateau","Male"
2086,41.7395554534793,"Plateau","Male"
2087,39.3469792348462,"Plateau","Male"
2088,37.7432865459377,"Plateau","Male"
2089,35.8009528017621,"Plateau","Male"
2090,34.6626563488326,"Plateau","Male"
2091,32.7952536379038,"Plateau","Male"
2092,31.3415985332849,"Plateau","Male"
2093,30.059852021724,"Plateau","Male"
2094,28.5483206005861,"Plateau","Male"
2095,27.2595992656947,"Plateau","Male"
2096,26.1861445879998,"Plateau","Male"
2097,24.6783438490229,"Plateau","Male"
2098,23.5060581096526,"Plateau","Male"
2099,22.4986487878419,"Plateau","Male"
2100,21.3729777466985,"Plateau","Male"
2101,20.5321045664415,"Plateau","Male"
2102,19.5742138532256,"Plateau","Male"
2103,18.9314392654956,"Plateau","Male"
2104,17.9996444058266,"Plateau","Male"
2105,16.9346636549212,"Plateau","Male"
2106,16.1065051492245,"Plateau","Male"
2107,15.3657703316046,"Plateau","Male"
2108,14.7054818212069,"Plateau","Male"
2109,14.143179217442,"Plateau","Male"
2110,13.5156502373393,"Plateau","Male"
2111,12.8202953613432,"Plateau","Male"
2112,12.2293245926971,"Plateau","Male"
2113,11.6081227461512,"Plateau","Male"
2114,11.183721300451,"Plateau","Male"
2115,10.7047660410536,"Plateau","Male"
2116,10.1051872431486,"Plateau","Male"
2117,9.60637210419039,"Plateau","Male"
2118,9.34706477554907,"Plateau","Male"
2119,8.81083184873316,"Plateau","Male"
2120,8.3938672583745,"Plateau","Male"
2121,7.97467078155128,"Plateau","Male"
2122,7.62327274465388,"Plateau","Male"
2023,38,"Plateau","Female"
2024,36.4886000061917,"Plateau","Female"
2025,33.4018408120059,"Plateau","Female"
2026,30.3992142575957,"Plateau","Female"
2027,27.2172300571354,"Plateau","Female"
2028,24.5475372686047,"Plateau","Female"
2029,22.068518549003,"Plateau","Female"
2030,19.9878168176185,"Plateau","Female"
2031,17.8716904139563,"Plateau","Female"
2032,16.1043989543559,"Plateau","Female"
2033,14.4851106594277,"Plateau","Female"
2034,13.0152573722467,"Plateau","Female"
2035,11.7903606785379,"Plateau","Female"
2036,10.576688585002,"Plateau","Female"
2037,9.49207813750315,"Plateau","Female"
2038,8.53369734661947,"Plateau","Female"
2039,7.73202474741891,"Plateau","Female"
2040,6.95316576155708,"Plateau","Female"
2041,6.2432941271198,"Plateau","Female"
2042,5.64063403634078,"Plateau","Female"
2043,5.05746544393578,"Plateau","Female"
2044,4.56736902157498,"Plateau","Female"
2045,4.08584768545348,"Plateau","Female"
2046,3.67496312761004,"Plateau","Female"
2047,3.30580804049951,"Plateau","Female"
2048,2.99097648284965,"Plateau","Female"
2049,2.70758407625529,"Plateau","Female"
2050,2.43938634053189,"Plateau","Female"
2051,2.16940214841302,"Plateau","Female"
2052,1.96486763289407,"Plateau","Female"
2053,1.76542659311625,"Plateau","Female"
2054,1.60392870460639,"Plateau","Female"
2055,1.44219844312188,"Plateau","Female"
2056,1.29162883668452,"Plateau","Female"
2057,1.15521206959428,"Plateau","Female"
2058,1.04273995410826,"Plateau","Female"
2059,0.947579362903728,"Plateau","Female"
2060,0.852714833341075,"Plateau","Female"
2061,0.778147991140072,"Plateau","Female"
2062,0.690616848026026,"Plateau","Female"
2063,0.628624148353846,"Plateau","Female"
2064,0.568074847157572,"Plateau","Female"
2065,0.508381961594543,"Plateau","Female"
2066,0.458346673505881,"Plateau","Female"
2067,0.41060738581635,"Plateau","Female"
2068,0.368914656133224,"Plateau","Female"
2069,0.328853542695256,"Plateau","Female"
2070,0.29602618801285,"Plateau","Female"
2071,0.265939987744034,"Plateau","Female"
2072,0.24111039536496,"Plateau","Female"
2073,0.217354491309482,"Plateau","Female"
2074,0.195074066705486,"Plateau","Female"
2075,0.175320024250111,"Plateau","Female"
2076,0.158526006027092,"Plateau","Female"
2077,0.141837073813529,"Plateau","Female"
2078,0.127620942894141,"Plateau","Female"
2079,0.115159931617008,"Plateau","Female"
2080,0.1046722307797,"Plateau","Female"
2081,0.0939367739648162,"Plateau","Female"
2082,0.084497107492315,"Plateau","Female"
2083,0.0764572524853186,"Plateau","Female"
2084,0.0691472044530536,"Plateau","Female"
2085,0.0626424356156889,"Plateau","Female"
2086,0.0569209611700443,"Plateau","Female"
2087,0.0511892268083621,"Plateau","Female"
2088,0.0458203256227718,"Plateau","Female"
2089,0.0409345045917017,"Plateau","Female"
2090,0.0372251871541379,"Plateau","Female"
2091,0.0332510853848472,"Plateau","Female"
2092,0.0302746356367482,"Plateau","Female"
2093,0.0274078773290583,"Plateau","Female"
2094,0.0247137073923739,"Plateau","Female"
2095,0.0222058223458276,"Plateau","Female"
2096,0.0198782556223484,"Plateau","Female"
2097,0.0180374782560229,"Plateau","Female"
2098,0.0163701057274178,"Plateau","Female"
2099,0.0146079136645403,"Plateau","Female"
2100,0.0131564403001155,"Plateau","Female"
2101,0.0118044662645764,"Plateau","Female"
2102,0.0106200077765778,"Plateau","Female"
2103,0.00955952024412871,"Plateau","Female"
2104,0.00863407726724708,"Plateau","Female"
2105,0.00773901546444872,"Plateau","Female"
2106,0.0069145305165834,"Plateau","Female"
2107,0.00620701410115589,"Plateau","Female"
2108,0.0055741156270637,"Plateau","Female"
2109,0.00506820399039517,"Plateau","Female"
2110,0.00455047579692296,"Plateau","Female"
2111,0.0040881073467712,"Plateau","Female"
2112,0.00369775330576149,"Plateau","Female"
2113,0.00333770278290856,"Plateau","Female"
2114,0.00299764407628235,"Plateau","Female"
2115,0.00267541183985141,"Plateau","Female"
2116,0.00240671686968388,"Plateau","Female"
2117,0.00220178858296582,"Plateau","Female"
2118,0.00196460034201049,"Plateau","Female"
2119,0.00177421483631946,"Plateau","Female"
2120,0.00160382520506501,"Plateau","Female"
2121,0.00144027691762222,"Plateau","Female"
2122,0.00131955095389305,"Plateau","Female"
2023,47,"Beach","Male"
2024,49.6857249557494,"Beach","Male"
2025,47.6325057616203,"Beach","Male"
2026,44.7514131400131,"Beach","Male"
2027,41.4545307410808,"Beach","Male"
2028,38.1572838138987,"Beach","Male"
2029,35.4067925412254,"Beach","Male"
2030,33.0327540095579,"Beach","Male"
2031,30.7082925222371,"Beach","Male"
2032,28.9732876897317,"Beach","Male"
2033,27.381928726395,"Beach","Male"
2034,25.7948992559345,"Beach","Male"
2035,24.2680413134796,"Beach","Male"
2036,22.6540401048161,"Beach","Male"
2037,21.3847454329263,"Beach","Male"
2038,19.944104659486,"Beach","Male"
2039,18.782743215218,"Beach","Male"
2040,17.69109496277,"Beach","Male"
2041,16.506028103003,"Beach","Male"
2042,15.4336727867809,"Beach","Male"
2043,14.5620498839875,"Beach","Male"
2044,13.7514426207381,"Beach","Male"
2045,12.7766218745985,"Beach","Male"
2046,11.9671788327922,"Beach","Male"
2047,11.1561258076148,"Beach","Male"
2048,10.5767843245514,"Beach","Male"
2049,9.93006884086705,"Beach","Male"
2050,9.224865061136,"Beach","Male"
2051,8.63629495792459,"Beach","Male"
2052,8.07576321244528,"Beach","Male"
2053,7.67059020859653,"Beach","Male"
2054,7.1142975715267,"Beach","Male"
2055,6.62368038126775,"Beach","Male"
2056,6.25581960531557,"Beach","Male"
2057,5.86672245482509,"Beach","Male"
2058,5.49357610461487,"Beach","Male"
2059,5.16635438510682,"Beach","Male"
2060,4.80409520145772,"Beach","Male"
2061,4.51715846494235,"Beach","Male"
2062,4.2837905616103,"Beach","Male"
2063,4.01140807052501,"Beach","Male"
2064,3.74980705004342,"Beach","Male"
2065,3.56411937403365,"Beach","Male"
2066,3.33796019596808,"Beach","Male"
2067,3.0897650525536,"Beach","Male"
2068,2.89852679145298,"Beach","Male"
2069,2.7510458358252,"Beach","Male"
2070,2.55585118520195,"Beach","Male"
2071,2.38372246605579,"Beach","Male"
2072,2.24377786299762,"Beach","Male"
2073,2.09275606372297,"Beach","Male"
2074,2.00816078896543,"Beach","Male"
2075,1.85313469729782,"Beach","Male"
2076,1.73188825504149,"Beach","Male"
2077,1.61206052403743,"Beach","Male"
2078,1.51246651286749,"Beach","Male"
2079,1.42336127208395,"Beach","Male"
2080,1.33378983174824,"Beach","Male"
2081,1.24922948350078,"Beach","Male"
2082,1.16712382887766,"Beach","Male"
2083,1.08218787174327,"Beach","Male"
2084,1.012539694217,"Beach","Male"
2085,0.94186593161454,"Beach","Male"
2086,0.895412958914929,"Beach","Male"
2087,0.841537017599762,"Beach","Male"
2088,0.793585329074043,"Beach","Male"
2089,0.741195421790628,"Beach","Male"
2090,0.685379239820281,"Beach","Male"
2091,0.64230817723025,"Beach","Male"
2092,0.598688865668654,"Beach","Male"
2093,0.561918070698892,"Beach","Male"
2094,0.526446576562638,"Beach","Male"
2095,0.493030269552198,"Beach","Male"
2096,0.465446413935752,"Beach","Male"
2097,0.433285802389403,"Beach","Male"
2098,0.408050228533375,"Beach","Male"
2099,0.381395509588831,"Beach","Male"
2100,0.355224410847774,"Beach","Male"
2101,0.328345360626294,"Beach","Male"
2102,0.314400770389736,"Beach","Male"
2103,0.292207703982738,"Beach","Male"
2104,0.276178120428506,"Beach","Male"
2105,0.255358747832213,"Beach","Male"
2106,0.237401496379617,"Beach","Male"
2107,0.225917355693642,"Beach","Male"
2108,0.209911653223138,"Beach","Male"
2109,0.196769834154122,"Beach","Male"
2110,0.185991144151473,"Beach","Male"
2111,0.171557984188538,"Beach","Male"
2112,0.162947399767652,"Beach","Male"
2113,0.151912274167228,"Beach","Male"
2114,0.143745414362215,"Beach","Male"
2115,0.133331988162601,"Beach","Male"
2116,0.125935252832142,"Beach","Male"
2117,0.117699256908969,"Beach","Male"
2118,0.110559756075704,"Beach","Male"
2119,0.102388334422593,"Beach","Male"
2120,0.0958775090558408,"Beach","Male"
2121,0.0904718996291558,"Beach","Male"
2122,0.0851049867195639,"Beach","Male"
2023,18,"Beach","Female"
2024,21.8944664448167,"Beach","Female"
2025,21.2916404928522,"Beach","Female"
2026,19.6870307014245,"Beach","Female"
2027,17.8616677754456,"Beach","Female"
2028,16.138259949359,"Beach","Female"
2029,14.7766389958896,"Beach","Female"
2030,13.5388994564035,"Beach","Female"
2031,12.5770276510552,"Beach","Female"
2032,11.8734272244302,"Beach","Female"
2033,11.1706347935698,"Beach","Female"
2034,10.5572075911941,"Beach","Female"
2035,10.0501325729037,"Beach","Female"
2036,9.42512596249853,"Beach","Female"
2037,8.77431094891078,"Beach","Female"
2038,8.15606503562034,"Beach","Female"
2039,7.69458585572329,"Beach","Female"
2040,7.155057638883,"Beach","Female"
2041,6.77188114796494,"Beach","Female"
2042,6.30857503126399,"Beach","Female"
2043,5.96017977412005,"Beach","Female"
2044,5.54107869265687,"Beach","Female"
2045,5.1992972298741,"Beach","Female"
2046,4.86507398926423,"Beach","Female"
2047,4.52687974047317,"Beach","Female"
2048,4.28817017532663,"Beach","Female"
2049,4.02224854810351,"Beach","Female"
2050,3.7231705461483,"Beach","Female"
2051,3.49805832092346,"Beach","Female"
2052,3.32440391361275,"Beach","Female"
2053,3.10493223127367,"Beach","Female"
2054,2.92520209752439,"Beach","Female"
2055,2.65843693446881,"Beach","Female"
2056,2.51545571071704,"Beach","Female"
2057,2.38177901896671,"Beach","Female"
2058,2.2185262645872,"Beach","Female"
2059,2.0634172878695,"Beach","Female"
2060,1.95693850539713,"Beach","Female"
2061,1.82235643324186,"Beach","Female"
2062,1.70309924648927,"Beach","Female"
2063,1.61561268959411,"Beach","Female"
2064,1.51432082873328,"Beach","Female"
2065,1.41062271407464,"Beach","Female"
2066,1.3520533674575,"Beach","Female"
2067,1.24920566408505,"Beach","Female"
2068,1.15979609135133,"Beach","Female"
2069,1.09127137788309,"Beach","Female"
2070,1.02795658254378,"Beach","Female"
2071,0.954442657590957,"Beach","Female"
2072,0.897629042864681,"Beach","Female"
2073,0.841931989817603,"Beach","Female"
2074,0.78833374294298,"Beach","Female"
2075,0.738442849361944,"Beach","Female"
2076,0.689445669632146,"Beach","Female"
2077,0.638942707076587,"Beach","Female"
2078,0.605612278892808,"Beach","Female"
2079,0.575947298465174,"Beach","Female"
2080,0.536095621313606,"Beach","Female"
2081,0.503684260571508,"Beach","Female"
2082,0.468364540999434,"Beach","Female"
2083,0.439042224039214,"Beach","Female"
2084,0.414883150937336,"Beach","Female"
2085,0.383728833214971,"Beach","Female"
2086,0.363573300681688,"Beach","Female"
2087,0.344960693837121,"Beach","Female"
2088,0.319965397443572,"Beach","Female"
2089,0.297565049796678,"Beach","Female"
2090,0.279958661321968,"Beach","Female"
2091,0.257834476951282,"Beach","Female"
2092,0.244283889523258,"Beach","Female"
2093,0.228230590697606,"Beach","Female"
2094,0.209719214000358,"Beach","Female"
2095,0.198793615063568,"Beach","Female"
2096,0.188101910016615,"Beach","Female"
2097,0.174276897374962,"Beach","Female"
2098,0.164110245508278,"Beach","Female"
2099,0.154318106825144,"Beach","Female"
2100,0.141356580458498,"Beach","Female"
2101,0.134165546307913,"Beach","Female"
2102,0.126076331206777,"Beach","Female"
2103,0.118185587719651,"Beach","Female"
2104,0.111478639373533,"Beach","Female"
2105,0.102002886355308,"Beach","Female"
2106,0.0962437320035984,"Beach","Female"
2107,0.0909542111735853,"Beach","Female"
2108,0.0855822514751736,"Beach","Female"
2109,0.0788677486699748,"Beach","Female"
2110,0.074650836049499,"Beach","Female"
2111,0.070147513277946,"Beach","Female"
2112,0.0652936595823646,"Beach","Female"
2113,0.0611967849192198,"Beach","Female"
2114,0.0569681542873234,"Beach","Female"
2115,0.0534287805528567,"Beach","Female"
2116,0.0508437855929397,"Beach","Female"
2117,0.0469274028983947,"Beach","Female"
2118,0.044668944289462,"Beach","Female"
2119,0.0408976868350117,"Beach","Female"
2120,0.0386802239834066,"Beach","Female"
2121,0.0364202420245596,"Beach","Female"
2122,0.0338437946883259,"Beach","Female"
2023,260,"Konjsko","Male"
2024,557.365739202957,"Konjsko","Male"
2025,626.564755838599,"Konjsko","Male"
2026,636.441970721855,"Konjsko","Male"
2027,637.110851354265,"Konjsko","Male"
2028,635.527479670054,"Konjsko","Male"
2029,634.511233444711,"Konjsko","Male"
2030,618.45464023916,"Konjsko","Male"
2031,612.125771623051,"Konjsko","Male"
2032,646.15079048096,"Konjsko","Male"
2033,678.808468658019,"Konjsko","Male"
2034,709.609899371532,"Konjsko","Male"
2035,727.705592005897,"Konjsko","Male"
2036,769.819956222206,"Konjsko","Male"
2037,783.784995984783,"Konjsko","Male"
2038,799.883534947394,"Konjsko","Male"
2039,818.127736536662,"Konjsko","Male"
2040,839.121007510171,"Konjsko","Male"
2041,867.495771663931,"Konjsko","Male"
2042,885.533507880702,"Konjsko","Male"
2043,912.027334023216,"Konjsko","Male"
2044,938.391968817054,"Konjsko","Male"
2045,973.606184690891,"Konjsko","Male"
2046,999.696562825744,"Konjsko","Male"
2047,1015.23135567516,"Konjsko","Male"
2048,1051.49257524187,"Konjsko","Male"
2049,1079.35117329836,"Konjsko","Male"
2050,1113.80418233043,"Konjsko","Male"
2051,1144.76298735558,"Konjsko","Male"
2052,1188.43049498017,"Konjsko","Male"
2053,1204.15051077595,"Konjsko","Male"
2054,1235.54275985544,"Konjsko","Male"
2055,1270.69564194586,"Konjsko","Male"
2056,1297.25326538681,"Konjsko","Male"
2057,1331.35056886967,"Konjsko","Male"
2058,1388.78749069874,"Konjsko","Male"
2059,1427.85296402183,"Konjsko","Male"
2060,1441.30457935258,"Konjsko","Male"
2061,1506.39493695678,"Konjsko","Male"
2062,1524.19226742995,"Konjsko","Male"
2063,1574.84121776032,"Konjsko","Male"
2064,1619.58157475572,"Konjsko","Male"
2065,1669.38721753036,"Konjsko","Male"
2066,1702.06069307361,"Konjsko","Male"
2067,1780.23285030993,"Konjsko","Male"
2068,1820.24008879799,"Konjsko","Male"
2069,1863.71214211132,"Konjsko","Male"
2070,1908.32208080108,"Konjsko","Male"
2071,1954.02923563548,"Konjsko","Male"
2072,2003.38146694207,"Konjsko","Male"
2073,2058.17814097457,"Konjsko","Male"
2074,2081.54871979973,"Konjsko","Male"
2075,2198.51070610399,"Konjsko","Male"
2076,2240.04594104221,"Konjsko","Male"
2077,2264.37919513303,"Konjsko","Male"
2078,2336.52737269091,"Konjsko","Male"
2079,2395.01751412285,"Konjsko","Male"
2080,2463.6256130771,"Konjsko","Male"
2081,2534.92623351118,"Konjsko","Male"
2082,2616.35495713373,"Konjsko","Male"
2083,2658.07204434595,"Konjsko","Male"
2084,2757.739803767,"Konjsko","Male"
2085,2831.37773816292,"Konjsko","Male"
2086,2896.37897035054,"Konjsko","Male"
2087,2973.61296682757,"Konjsko","Male"
2088,3037.28649186967,"Konjsko","Male"
2089,3112.91824281802,"Konjsko","Male"
2090,3232.34422960211,"Konjsko","Male"
2091,3288.6851144144,"Konjsko","Male"
2092,3320.8472530739,"Konjsko","Male"
2093,3482.65068058806,"Konjsko","Male"
2094,3534.99798010084,"Konjsko","Male"
2095,3686.9563811696,"Konjsko","Male"
2096,3773.89368052555,"Konjsko","Male"
2097,3916.49565166491,"Konjsko","Male"
2098,3948.53764611461,"Konjsko","Male"
2099,4078.58180069856,"Konjsko","Male"
2100,4202.6245351429,"Konjsko","Male"
2101,4268.42836376996,"Konjsko","Male"
2102,4433.09062116545,"Konjsko","Male"
2103,4597.13490829374,"Konjsko","Male"
2104,4679.56319270054,"Konjsko","Male"
2105,4733.02335909093,"Konjsko","Male"
2106,4975.63584075507,"Konjsko","Male"
2107,5099.91817565352,"Konjsko","Male"
2108,5265.85824842282,"Konjsko","Male"
2109,5374.00295385841,"Konjsko","Male"
2110,5483.50226851472,"Konjsko","Male"
2111,5691.30348802065,"Konjsko","Male"
2112,5776.40454337204,"Konjsko","Male"
2113,5840.71884864236,"Konjsko","Male"
2114,6172.06816089491,"Konjsko","Male"
2115,6291.10605179373,"Konjsko","Male"
2116,6531.85207161849,"Konjsko","Male"
2117,6587.02377751152,"Konjsko","Male"
2118,6778.29745823489,"Konjsko","Male"
2119,7014.08654746311,"Konjsko","Male"
2120,7035.67415705585,"Konjsko","Male"
2121,7377.57329048705,"Konjsko","Male"
2122,7428.3414491206,"Konjsko","Male"
2023,349,"Konjsko","Female"
2024,651.383619661394,"Konjsko","Female"
2025,715.636496693888,"Konjsko","Female"
2026,725.299706824207,"Konjsko","Female"
2027,720.909275106415,"Konjsko","Female"
2028,719.985254568612,"Konjsko","Female"
2029,710.275759795795,"Konjsko","Female"
2030,702.610265752577,"Konjsko","Female"
2031,692.273558211234,"Konjsko","Female"
2032,722.211737259435,"Konjsko","Female"
2033,751.507966398543,"Konjsko","Female"
2034,778.838424542949,"Konjsko","Female"
2035,807.847202646059,"Konjsko","Female"
2036,833.013764207194,"Konjsko","Female"
2037,854.691003777389,"Konjsko","Female"
2038,876.545297806764,"Konjsko","Female"
2039,897.594444404553,"Konjsko","Female"
2040,910.40795418391,"Konjsko","Female"
2041,934.390167738176,"Konjsko","Female"
2042,958.408968222875,"Konjsko","Female"
2043,985.997382536031,"Konjsko","Female"
2044,1007.7897370348,"Konjsko","Female"
2045,1053.43283417368,"Konjsko","Female"
2046,1081.86200008241,"Konjsko","Female"
2047,1097.02209108705,"Konjsko","Female"
2048,1137.5221522396,"Konjsko","Female"
2049,1161.68049985703,"Konjsko","Female"
2050,1186.25444386041,"Konjsko","Female"
2051,1242.56756335811,"Konjsko","Female"
2052,1279.12073916574,"Konjsko","Female"
2053,1312.2393072174,"Konjsko","Female"
2054,1332.44519255568,"Konjsko","Female"
2055,1359.30774383404,"Konjsko","Female"
2056,1392.72778779375,"Konjsko","Female"
2057,1447.79828090225,"Konjsko","Female"
2058,1492.37521934249,"Konjsko","Female"
2059,1510.98181297534,"Konjsko","Female"
2060,1573.74461918403,"Konjsko","Female"
2061,1619.93921188218,"Konjsko","Female"
2062,1641.73967908642,"Konjsko","Female"
2063,1701.41243243097,"Konjsko","Female"
2064,1737.31973794004,"Konjsko","Female"
2065,1789.56010904239,"Konjsko","Female"
2066,1862.12228809917,"Konjsko","Female"
2067,1903.54071591284,"Konjsko","Female"
2068,1941.69292159331,"Konjsko","Female"
2069,1998.30278304647,"Konjsko","Female"
2070,2065.031585143,"Konjsko","Female"
2071,2089.80071003573,"Konjsko","Female"
2072,2149.1380905357,"Konjsko","Female"
2073,2196.48703165568,"Konjsko","Female"
2074,2280.27481007258,"Konjsko","Female"
2075,2350.24463134262,"Konjsko","Female"
2076,2414.93769696164,"Konjsko","Female"
2077,2433.66000235526,"Konjsko","Female"
2078,2549.04255210821,"Konjsko","Female"
2079,2589.93730598514,"Konjsko","Female"
2080,2665.74671482895,"Konjsko","Female"
2081,2699.53265763857,"Konjsko","Female"
2082,2763.76886825503,"Konjsko","Female"
2083,2838.02172483676,"Konjsko","Female"
2084,2942.31258662069,"Konjsko","Female"
2085,3015.38608374937,"Konjsko","Female"
2086,3087.13033252641,"Konjsko","Female"
2087,3179.34315403259,"Konjsko","Female"
2088,3250.12898097894,"Konjsko","Female"
2089,3367.32836454002,"Konjsko","Female"
2090,3453.92631333825,"Konjsko","Female"
2091,3560.15327487792,"Konjsko","Female"
2092,3658.47252779863,"Konjsko","Female"
2093,3735.45456576427,"Konjsko","Female"
2094,3879.38488609457,"Konjsko","Female"
2095,3951.79677076517,"Konjsko","Female"
2096,4073.82718662823,"Konjsko","Female"
2097,4185.83163550362,"Konjsko","Female"
2098,4306.22887759186,"Konjsko","Female"
2099,4376.397888965,"Konjsko","Female"
2100,4513.64032977074,"Konjsko","Female"
2101,4673.07776356232,"Konjsko","Female"
2102,4771.8246789094,"Konjsko","Female"
2103,4994.66204616098,"Konjsko","Female"
2104,5072.03978120871,"Konjsko","Female"
2105,5185.18161065661,"Konjsko","Female"
2106,5331.22809400506,"Konjsko","Female"
2107,5559.00227079406,"Konjsko","Female"
2108,5640.41831949316,"Konjsko","Female"
2109,5778.76083052233,"Konjsko","Female"
2110,5928.8445608983,"Konjsko","Female"
2111,6120.2668214974,"Konjsko","Female"
2112,6321.7213773199,"Konjsko","Female"
2113,6383.33706152202,"Konjsko","Female"
2114,6555.85782041262,"Konjsko","Female"
2115,6858.06596854508,"Konjsko","Female"
2116,7013.54619688529,"Konjsko","Female"
2117,7288.60407788467,"Konjsko","Female"
2118,7352.83740643319,"Konjsko","Female"
2119,7487.77045661741,"Konjsko","Female"
2120,7533.68375708884,"Konjsko","Female"
2121,7879.50851948617,"Konjsko","Female"
2122,8118.01718607655,"Konjsko","Female"
